,From,To,Value
0,frankfurt_aws,frankfurt_aws,1.0
1,frankfurt_google,frankfurt_aws,0.814
2,london_aws,frankfurt_aws,0.655
3,london_google,frankfurt_aws,0.5166
4,mumbai_aws,frankfurt_aws,0.3951
5,mumbai_google,frankfurt_aws,0.0569
6,northvirginia_aws,frankfurt_aws,0.4508
7,northvirginia_google,frankfurt_aws,0.3969
8,oregon_aws,frankfurt_aws,0.3358
9,oregon_google,frankfurt_aws,0.324
10,saopaulo_aws,frankfurt_aws,0.2199
11,saopaulo_google,frankfurt_aws,0.2325
12,singapore_aws,frankfurt_aws,0.3204
13,singapore_google,frankfurt_aws,0.1414
14,sydney_aws,frankfurt_aws,0.1599
15,sydney_google,frankfurt_aws,0.1634
16,tokyo_aws,frankfurt_aws,0.204
17,tokyo_google,frankfurt_aws,0.2106
18,frankfurt_aws,frankfurt_google,0.9096
19,frankfurt_google,frankfurt_google,1.0
20,london_aws,frankfurt_google,0.6205
21,london_google,frankfurt_google,0.5426
22,mumbai_aws,frankfurt_google,0.2198
23,mumbai_google,frankfurt_google,0.0772
24,northvirginia_aws,frankfurt_google,0.4358
25,northvirginia_google,frankfurt_google,0.4063
26,oregon_aws,frankfurt_google,0.3579
27,oregon_google,frankfurt_google,0.3524
28,saopaulo_aws,frankfurt_google,0.2476
29,saopaulo_google,frankfurt_google,0.2536
30,singapore_aws,frankfurt_google,0.146
31,singapore_google,frankfurt_google,0.143
32,sydney_aws,frankfurt_google,0.1724
33,sydney_google,frankfurt_google,0.1506
34,tokyo_aws,frankfurt_google,0.235
35,tokyo_google,frankfurt_google,0.2374
36,frankfurt_aws,london_aws,0.6694
37,frankfurt_google,london_aws,0.5994
38,london_aws,london_aws,1.0
39,london_google,london_aws,0.9433
40,mumbai_aws,london_aws,0.391
41,mumbai_google,london_aws,0.073
42,northvirginia_aws,london_aws,0.494
43,northvirginia_google,london_aws,0.4412
44,oregon_aws,london_aws,0.3292
45,oregon_google,london_aws,0.3469
46,saopaulo_aws,london_aws,0.232
47,saopaulo_google,london_aws,0.2491
48,singapore_aws,london_aws,0.3259
49,singapore_google,london_aws,0.1353
50,sydney_aws,london_aws,0.166
51,sydney_google,london_aws,0.1672
52,tokyo_aws,london_aws,0.2326
53,tokyo_google,london_aws,0.236
54,frankfurt_aws,london_google,0.6053
55,frankfurt_google,london_google,0.8098
56,london_aws,london_google,0.9988
57,london_google,london_google,1.0
58,mumbai_aws,london_google,0.222
59,mumbai_google,london_google,0.0912
60,northvirginia_aws,london_google,0.4666
61,northvirginia_google,london_google,0.4282
62,oregon_aws,london_google,0.3694
63,oregon_google,london_google,0.3545
64,saopaulo_aws,london_google,0.2597
65,saopaulo_google,london_google,0.2822
66,singapore_aws,london_google,0.1592
67,singapore_google,london_google,0.1724
68,sydney_aws,london_google,0.1854
69,sydney_google,london_google,0.1704
70,tokyo_aws,london_google,0.25
71,tokyo_google,london_google,0.2655
72,frankfurt_aws,mumbai_aws,0.3891
73,frankfurt_google,mumbai_aws,0.2038
74,london_aws,mumbai_aws,0.3836
75,london_google,mumbai_aws,0.2038
76,mumbai_aws,mumbai_aws,1.0
77,mumbai_google,mumbai_aws,0.9186
78,northvirginia_aws,mumbai_aws,0.2874
79,northvirginia_google,mumbai_aws,0.2021
80,oregon_aws,mumbai_aws,0.24
81,oregon_google,mumbai_aws,0.2044
82,saopaulo_aws,mumbai_aws,0.0908
83,saopaulo_google,mumbai_aws,0.0455
84,singapore_aws,mumbai_aws,0.4717
85,singapore_google,mumbai_aws,0.4817
86,sydney_aws,mumbai_aws,0.1938
87,sydney_google,mumbai_aws,0.3116
88,tokyo_aws,mumbai_aws,0.3622
89,tokyo_google,mumbai_aws,0.3732
90,frankfurt_aws,mumbai_google,0.0759
91,frankfurt_google,mumbai_google,0.0676
92,london_aws,mumbai_google,0.0829
93,london_google,mumbai_google,0.0892
94,mumbai_aws,mumbai_google,0.9528
95,mumbai_google,mumbai_google,1.0
96,northvirginia_aws,mumbai_google,0.1746
97,northvirginia_google,mumbai_google,0.1863
98,oregon_aws,mumbai_google,0.2447
99,oregon_google,mumbai_google,0.2579
100,saopaulo_aws,mumbai_google,0.0283
101,saopaulo_google,mumbai_google,0.0328
102,singapore_aws,mumbai_google,0.4776
103,singapore_google,mumbai_google,0.4808
104,sydney_aws,mumbai_google,0.3494
105,sydney_google,mumbai_google,0.3306
106,tokyo_aws,mumbai_google,0.3653
107,tokyo_google,mumbai_google,0.372
108,frankfurt_aws,northvirginia_aws,0.4606
109,frankfurt_google,northvirginia_aws,0.4174
110,london_aws,northvirginia_aws,0.4674
111,london_google,northvirginia_aws,0.4402
112,mumbai_aws,northvirginia_aws,0.2954
113,mumbai_google,northvirginia_aws,0.1574
114,northvirginia_aws,northvirginia_aws,1.0
115,northvirginia_google,northvirginia_aws,0.8862
116,oregon_aws,northvirginia_aws,0.4587
117,oregon_google,northvirginia_aws,0.4602
118,saopaulo_aws,northvirginia_aws,0.3658
119,saopaulo_google,northvirginia_aws,0.3584
120,singapore_aws,northvirginia_aws,0.228
121,singapore_google,northvirginia_aws,0.24
122,sydney_aws,northvirginia_aws,0.2734
123,sydney_google,northvirginia_aws,0.258
124,tokyo_aws,northvirginia_aws,0.3296
125,tokyo_google,northvirginia_aws,0.3306
126,frankfurt_aws,northvirginia_google,0.4343
127,frankfurt_google,northvirginia_google,0.4246
128,london_aws,northvirginia_google,0.4506
129,london_google,northvirginia_google,0.446
130,mumbai_aws,northvirginia_google,0.2204
131,mumbai_google,northvirginia_google,0.1868
132,northvirginia_aws,northvirginia_google,0.9522
133,northvirginia_google,northvirginia_google,1.0
134,oregon_aws,northvirginia_google,0.4938
135,oregon_google,northvirginia_google,0.4562
136,saopaulo_aws,northvirginia_google,0.366
137,saopaulo_google,northvirginia_google,0.4064
138,singapore_aws,northvirginia_google,0.2556
139,singapore_google,northvirginia_google,0.2745
140,sydney_aws,northvirginia_google,0.2828
141,sydney_google,northvirginia_google,0.2725
142,tokyo_aws,northvirginia_google,0.3394
143,tokyo_google,northvirginia_google,0.371
144,frankfurt_aws,oregon_aws,0.3303
145,frankfurt_google,oregon_aws,0.3326
146,london_aws,oregon_aws,0.3667
147,london_google,oregon_aws,0.348
148,mumbai_aws,oregon_aws,0.2412
149,mumbai_google,oregon_aws,0.2256
150,northvirginia_aws,oregon_aws,0.458
151,northvirginia_google,oregon_aws,0.4656
152,oregon_aws,oregon_aws,1.0
153,oregon_google,oregon_aws,0.595
154,saopaulo_aws,oregon_aws,0.2901
155,saopaulo_google,oregon_aws,0.2727
156,singapore_aws,oregon_aws,0.3255
157,singapore_google,oregon_aws,0.3114
158,sydney_aws,oregon_aws,0.3684
159,sydney_google,oregon_aws,0.3
160,tokyo_aws,oregon_aws,0.3904
161,tokyo_google,oregon_aws,0.3992
162,frankfurt_aws,oregon_google,0.3475
163,frankfurt_google,oregon_google,0.3586
164,london_aws,oregon_google,0.3683
165,london_google,oregon_google,0.3688
166,mumbai_aws,oregon_google,0.2221
167,mumbai_google,oregon_google,0.2762
168,northvirginia_aws,oregon_google,0.4878
169,northvirginia_google,oregon_google,0.5142
170,oregon_aws,oregon_google,0.6598
171,oregon_google,oregon_google,1.0
172,saopaulo_aws,oregon_google,0.3063
173,saopaulo_google,oregon_google,0.3342
174,singapore_aws,oregon_google,0.3352
175,singapore_google,oregon_google,0.3688
176,sydney_aws,oregon_google,0.3259
177,sydney_google,oregon_google,0.3374
178,tokyo_aws,oregon_google,0.4266
179,tokyo_google,oregon_google,0.467
180,frankfurt_aws,saopaulo_aws,0.2424
181,frankfurt_google,saopaulo_aws,0.2268
182,london_aws,saopaulo_aws,0.2568
183,london_google,saopaulo_aws,0.2428
184,mumbai_aws,saopaulo_aws,0.1106
185,mumbai_google,saopaulo_aws,0.0154
186,northvirginia_aws,saopaulo_aws,0.3658
187,northvirginia_google,saopaulo_aws,0.34
188,oregon_aws,saopaulo_aws,0.3022
189,oregon_google,saopaulo_aws,0.2858
190,saopaulo_aws,saopaulo_aws,1.0
191,saopaulo_google,saopaulo_aws,0.6844
192,singapore_aws,saopaulo_aws,0.1034
193,singapore_google,saopaulo_aws,0.0912
194,sydney_aws,saopaulo_aws,0.1132
195,sydney_google,saopaulo_aws,0.1119
196,tokyo_aws,saopaulo_aws,0.1599
197,tokyo_google,saopaulo_aws,0.1712
198,frankfurt_aws,saopaulo_google,0.2441
199,frankfurt_google,saopaulo_google,0.2296
200,london_aws,saopaulo_google,0.267
201,london_google,saopaulo_google,0.2458
202,mumbai_aws,saopaulo_google,0.0588
203,mumbai_google,saopaulo_google,0.0142
204,northvirginia_aws,saopaulo_google,0.3714
205,northvirginia_google,saopaulo_google,0.3416
206,oregon_aws,saopaulo_google,0.2944
207,oregon_google,saopaulo_google,0.2857
208,saopaulo_aws,saopaulo_google,0.9016
209,saopaulo_google,saopaulo_google,1.0
210,singapore_aws,saopaulo_google,0.1031
211,singapore_google,saopaulo_google,0.09
212,sydney_aws,saopaulo_google,0.131
213,sydney_google,saopaulo_google,0.1108
214,tokyo_aws,saopaulo_google,0.1968
215,tokyo_google,saopaulo_google,0.1725
216,frankfurt_aws,singapore_aws,0.3299
217,frankfurt_google,singapore_aws,0.1416
218,london_aws,singapore_aws,0.3316
219,london_google,singapore_aws,0.1587
220,mumbai_aws,singapore_aws,0.483
221,mumbai_google,singapore_aws,0.4843
222,northvirginia_aws,singapore_aws,0.2236
223,northvirginia_google,singapore_aws,0.248
224,oregon_aws,singapore_aws,0.3253
225,oregon_google,singapore_aws,0.3359
226,saopaulo_aws,singapore_aws,0.103
227,saopaulo_google,singapore_aws,0.0984
228,singapore_aws,singapore_aws,1.0
229,singapore_google,singapore_aws,0.7522
230,sydney_aws,singapore_aws,0.2896
231,sydney_google,singapore_aws,0.4346
232,tokyo_aws,singapore_aws,0.4716
233,tokyo_google,singapore_aws,0.4784
234,frankfurt_aws,singapore_google,0.1388
235,frankfurt_google,singapore_google,0.1572
236,london_aws,singapore_google,0.169
237,london_google,singapore_google,0.173
238,mumbai_aws,singapore_google,0.4674
239,mumbai_google,singapore_google,0.4852
240,northvirginia_aws,singapore_google,0.2648
241,northvirginia_google,singapore_google,0.2738
242,oregon_aws,singapore_google,0.3332
243,oregon_google,singapore_google,0.3526
244,saopaulo_aws,singapore_google,0.1068
245,saopaulo_google,singapore_google,0.1098
246,singapore_aws,singapore_google,0.9044
247,singapore_google,singapore_google,1.0
248,sydney_aws,singapore_google,0.427
249,sydney_google,singapore_google,0.4454
250,tokyo_aws,singapore_google,0.4642
251,tokyo_google,singapore_google,0.5142
252,frankfurt_aws,sydney_aws,0.1598
253,frankfurt_google,sydney_aws,0.1466
254,london_aws,sydney_aws,0.166
255,london_google,sydney_aws,0.161
256,mumbai_aws,sydney_aws,0.2008
257,mumbai_google,sydney_aws,0.3114
258,northvirginia_aws,sydney_aws,0.269
259,northvirginia_google,sydney_aws,0.253
260,oregon_aws,sydney_aws,0.3656
261,oregon_google,sydney_aws,0.3
262,saopaulo_aws,sydney_aws,0.075
263,saopaulo_google,sydney_aws,0.1118
264,singapore_aws,sydney_aws,0.2988
265,singapore_google,sydney_aws,0.3917
266,sydney_aws,sydney_aws,1.0
267,sydney_google,sydney_aws,0.6664
268,tokyo_aws,sydney_aws,0.385
269,tokyo_google,sydney_aws,0.3614
270,frankfurt_aws,sydney_google,0.1646
271,frankfurt_google,sydney_google,0.1733
272,london_aws,sydney_google,0.1862
273,london_google,sydney_google,0.1927
274,mumbai_aws,sydney_google,0.323
275,mumbai_google,sydney_google,0.3688
276,northvirginia_aws,sydney_google,0.2847
277,northvirginia_google,sydney_google,0.2964
278,oregon_aws,sydney_google,0.3213
279,oregon_google,sydney_google,0.3462
280,saopaulo_aws,sydney_google,0.1306
281,saopaulo_google,sydney_google,0.1377
282,singapore_aws,sydney_google,0.4126
283,singapore_google,sydney_google,0.4874
284,sydney_aws,sydney_google,0.9674
285,sydney_google,sydney_google,1.0
286,tokyo_aws,sydney_google,0.4027
287,tokyo_google,sydney_google,0.4382
288,frankfurt_aws,tokyo_aws,0.2187
289,frankfurt_google,tokyo_aws,0.2068
290,london_aws,tokyo_aws,0.2328
291,london_google,tokyo_aws,0.2204
292,mumbai_aws,tokyo_aws,0.3584
293,mumbai_google,tokyo_aws,0.3406
294,northvirginia_aws,tokyo_aws,0.3282
295,northvirginia_google,tokyo_aws,0.3117
296,oregon_aws,tokyo_aws,0.4292
297,oregon_google,tokyo_aws,0.3947
298,saopaulo_aws,tokyo_aws,0.1694
299,saopaulo_google,tokyo_aws,0.1662
300,singapore_aws,tokyo_aws,0.4618
301,singapore_google,tokyo_aws,0.4212
302,sydney_aws,tokyo_aws,0.3742
303,sydney_google,tokyo_aws,0.368
304,tokyo_aws,tokyo_aws,1.0
305,tokyo_google,tokyo_aws,0.6346
306,frankfurt_aws,tokyo_google,0.2127
307,frankfurt_google,tokyo_google,0.2424
308,london_aws,tokyo_google,0.253
309,london_google,tokyo_google,0.2418
310,mumbai_aws,tokyo_google,0.3698
311,mumbai_google,tokyo_google,0.365
312,northvirginia_aws,tokyo_google,0.3429
313,northvirginia_google,tokyo_google,0.3726
314,oregon_aws,tokyo_google,0.4185
315,oregon_google,tokyo_google,0.4046
316,saopaulo_aws,tokyo_google,0.1863
317,saopaulo_google,tokyo_google,0.1918
318,singapore_aws,tokyo_google,0.4579
319,singapore_google,tokyo_google,0.4476
320,sydney_aws,tokyo_google,0.3972
321,sydney_google,tokyo_google,0.3688
322,tokyo_aws,tokyo_google,0.7992
323,tokyo_google,tokyo_google,1.0
